Assignment,Organization Name
F4EE14,"SHENZHEN MERCURY COMMUNICATION TECHNOLOGIES CO.,LTD."
186571,"Top Victory Electronics (Taiwan) Co., Ltd."
F8BC41,Rosslare Enterprises Limited
8486F3,Greenvity Communications
205CFA,"Yangzhou ChangLian Network Technology Co,ltd."
8C18D9,"Shenzhen RF Technology Co., Ltd"
6099D1,Vuzix / Lenovo
34F6D2,"Panasonic Taiwan Co.,Ltd."
DC2F03,"Step forward Group Co., Ltd."
582136,"KMB systems, s.r.o."
00AEFA,"Murata Manufacturing Co., Ltd."
5CAAFD,"Sonos, Inc."
8CDF9D,NEC Corporation
F8E903,D-Link International
6828F6,"Vubiq Networks, Inc."
44356F,Neterix
742EFC,"DirectPacket Research, Inc,"
20C06D,"SHENZHEN SPACETEK TECHNOLOGY CO.,LTD"
3CB792,"Hitachi Maxell, Ltd., Optronics Division"
7491BD,"Four systems Co.,Ltd."
D43266,Fike Corporation
"9,48E+091",INDUSTRIAS UNIDAS SA DE CV
9405B6,Liling FullRiver Electronics & Technology Ltd
382C4A,ASUSTek COMPUTER INC.
74547D,Cisco SPVTG
D48F33,Microsoft Corporation
1CA2B1,ruwido austria gmbh
945493,"Rigado, LLC"
34B7FD,"Guangzhou Younghead Electronic Technology Co.,Ltd"
384B76,AIRTAME ApS
1C5216,"DONGGUAN HELE ELECTRONICS CO., LTD"
34029B,CloudBerry Technologies Private Limited
70AF25,"Nishiyama Industry Co.,LTD."
B47C29,"Shenzhen Guzidi Technology Co.,Ltd"
2C1A31,Electronics Company Limited
6C198F,D-Link International
60C1CB,"Fujian Great Power PLC Equipment Co.,Ltd"
"6,86E+050","Prophet Electronic Technology Corp.,Ltd"
30F7D7,"Thread Technology Co., Ltd"
3808FD,Silca Spa
7C2587,chaowifi.com
2012D5,Scientech Materials Corporation
DC3979,Skyport Systems
EC1D7F,zte corporation
AC11D3,Suzhou HOTEK  Video Technology Co. Ltd
304225,BURG-WÄCHTER KG
1C4840,IMS Messsysteme GmbH
F42853,Zioncom Electronics (Shenzhen) Ltd.
3C46D8,"TP-LINK TECHNOLOGIES CO.,LTD."
6C0273,"Shenzhen Jin Yun Video Equipment Co., Ltd."
F0761C,"COMPAL INFORMATION (KUNSHAN) CO., LTD."
F42833,MMPC Inc.
244F1D,iRule LLC
BC9CC5,"Beijing Huafei Technology Co., Ltd."
505065,TAKT Corporation
A4A4D3,Bluebank Communication Technology Co.Ltd
74F413,Maxwell Forest
34F0CA,"Shenzhen Linghangyuan Digital Technology Co.,Ltd."
30B5F1,"Aitexin Technology Co., Ltd"
882950,"Dalian Netmoon Tech Develop Co.,Ltd"
08CD9B,samtec automotive electronics & software GmbH
28FCF6,"Shenzhen Xin KingBrand enterprises Co.,Ltd"
4C26E7,"Welgate Co., Ltd."
94D60E,"shenzhen yunmao information technologies co., ltd"
7C6AC3,"GatesAir, Inc"
3CCD5A,Technische Alternative GmbH
604826,Newbridge Technologies Int. Ltd.
24D13F,"MEXUS CO.,LTD"
702C1F,Wisol
9CBD9D,"SkyDisk, Inc."
74C621,"Zhejiang Hite Renewable Energy Co.,LTD"
44C306,SIFROM Inc.
54A31B,"Shenzhen Linkworld Technology Co,.LTD"
5CE7BF,"New Singularity International Technical Development Co.,Ltd"
1CEEE8,Ilshin Elecom
6C641A,Penguin Computing
E036E3,"Stage One International Co., Ltd."
34DE34,zte corporation
34466F,HiTEM Engineering
2C39C1,Ciena Corporation
6C2C06,OOO NPP Systemotechnika-NN
54EE75,"Wistron InfoComm(Kunshan)Co.,Ltd."
60812B,Custom Control Concepts
F86601,"Suzhou Chi-tek information technology Co., Ltd"
FC4AE9,Castlenet Technology Inc.
34E42A,Automatic Bar Controls Inc.
20A787,Bointec Taiwan Corporation Limited
A481EE,Nokia Corporation
54C80F,"TP-LINK TECHNOLOGIES CO.,LTD."
D42122,Sercomm Corporation
EC1766,Research Centre Module
7CFF62,"Huizhou Super Electron Technology Co.,Ltd."
A0D12A,AXPRO Technology Inc.
30C750,MIC Technology Group
442938,NietZsche enterprise Co.Ltd.
D881CE,AHN INC.
E0D31A,"EQUES Technology Co., Limited"
9C3EAA,"EnvyLogic Co.,Ltd."
909864,Impex-Sat GmbH&amp
DCE578,Experimental Factory of Scientific Engineering and Special Design Department
949F3F,Optek Digital Technology company limited
987770,"Pep Digital Technology (Guangzhou) Co., Ltd"
4411C2,Telegartner Karl Gartner GmbH
9451BF,Hyundai ESG
4C7F62,Nokia Corporation
F03FF8,R L Drake
B0C554,D-Link International
54D163,"MAX-TECH,INC"
E41218,"ShenZhen Rapoo Technology Co., Ltd."
2C8A72,HTC Corporation
4486C1,Siemens Low Voltage & Products
C83168,eZEX corporation
F84A73,"EUMTECH CO., LTD"
880F10,"Huami Information Technology Co.,Ltd."
24336C,Private
C46BB4,myIDkey
ECE512,tado GmbH
30918F,Technicolor
FC09F6,"GUANGDONG TONZE ELECTRIC CO.,LTD"
687848,"Westunitis Co., Ltd."
A8B9B3,ESSYS
64B370,PowerComm Solutions LLC
D86595,Toy's Myth Inc.
D8DD5F,BALMUDA Inc.
88D962,Canopus Systems US LLC
24C848,mywerk system GmbH
2C18AE,"Trend Electronics Co., Ltd."
E097F2,Atomax Inc.
90F3B7,"Kirisun Communications Co., Ltd."
DCAD9E,GreenPriz
B4827B,AKG Acoustics GmbH
908C44,"H.K ZONGMU TECHNOLOGY CO., LTD."
0C473D,Hitron Technologies. Inc
4C5E0C,Routerboard.com
9CF8DB,"shenzhen eyunmei technology co,.ltd"
644214,Swisscom Energy Solutions AG
8CCDA2,"ACTP, Inc."
CC720F,Viscount Systems Inc.
906717,Alphion India Private Limited
24050F,MTN Electronic Co. Ltd
40B6B1,"SUNGSAM CO,.Ltd"
98FF6A,"OTEC(Shanghai)Technology Co.,Ltd."
AC6BAC,Jenny Science AG
707C18,"ADATA Technology Co., Ltd"
FC4B1C,INTERSENSOR S.R.L.
1879A2,GMJ ELECTRIC LIMITED
E0C86A,"SHENZHEN TW-SCIE Co., Ltd"
80BAE6,Neets
3C18A0,"Luxshare Precision Industry Co.,Ltd."
041A04,WaveIP
50206B,Emerson Climate Technologies Transportation Solutions
C8EE75,Pishion International Co. Ltd
CC3429,"TP-LINK TECHNOLOGIES CO.,LTD."
407496,aFUN TECHNOLOGY INC.
18C8E7,"Shenzhen Hualistone Technology Co.,Ltd"
3CF748,"Shenzhen Linsn Technology Development Co.,Ltd"
9C039E,"Beijing Winchannel Software Technology Co., Ltd"
F8A963,"COMPAL INFORMATION (KUNSHAN) CO., LTD."
48A2B7,Kodofon JSC
443C9C,Pintsch Tiefenbach GmbH
F81CE5,Telefonbau Behnke GmbH
BC2D98,ThinGlobal LLC
7C72E4,Unikey Technologies
181BEB,"Actiontec Electronics, Inc"
CC7498,Filmetrics Inc.
7C6AB3,IBC TECHNOLOGIES INC.
F0321A,Mita-Teknik A/S
4CD7B6,Helmer Scientific
746F3D,Contec GmbH
483D32,Syscor Controls &amp
9031CD,Onyx Healthcare Inc.
A0E453,Sony Mobile Communications AB
404A18,Addrek Smart Solutions
C4C0AE,"MIDORI ELECTRONIC CO., LTD."
90837A,General Electric Water & Process Technologies
89758,"Shenzhen Strong Rising Electronics Co.,Ltd DongGuan Subsidiary"
B424E7,"Codetek Technology Co.,Ltd"
44EE30,Budelmann Elektronik GmbH
38DBBB,"Sunbow Telecom Co., Ltd."
2493CA,Voxtronic Technology Computer-Systeme GmbH
688AB5,EDP Servicos
407A80,Nokia Corporation
F06130,"Advantage Pharmacy Services, LLC"
D481CA,"iDevices, LLC"
B898F7,"Gionee Communication Equipment Co,Ltd.ShenZhen"
C0F1C4,Pacidal Corporation Ltd.
D858D7,"CZ.NIC, z.s.p.o."
10B713,Private
E8E770,"Warp9 Tech Design, Inc."
78CA5E,ELNO
98FFD0,Lenovo Mobile Communication Technology Ltd.
50A054,Actineon
48EE86,"UTStarcom (China) Co.,Ltd"
5056A8,Jolla Ltd
D09D0A,LINKCOM
54FB58,"WISEWARE, Lda"
C0A0BB,D-Link International
28A1EB,"ETEK TECHNOLOGY (SHENZHEN) CO.,LTD"
4CCBF5,zte corporation
F0F5AE,Adaptrum Inc.
F42896,SPECTO PAINEIS ELETRONICOS LTDA
1C7B21,Sony Mobile Communications AB
9C2840,"Discovery Technology,LTD.."
F89FB8,YAZAKI Energy System Corporation
F037A1,"Huike Electronics (SHENZHEN) CO., LTD."
6CD1B0,WING SING ELECTRONICS HONG KONG LIMITED
A4F522,"CHOFU SEISAKUSHO CO.,LTD"
7CE56B,"ESEN Optoelectronics Technology Co.,Ltd."
CC4703,"Intercon Systems Co., Ltd."
5C3327,Spazio Italia srl
F85BC9,M-Cube Spa
8005DF,Montage Technology Group Limited
78E8B6,zte corporation
041B94,Host Mobility AB
CC2A80,"Micro-Biz intelligence solutions Co.,Ltd"
3859F8,MindMade Sp. z o.o.
5C026A,Applied Vision Corporation
7CBD06,AE REFUsol
94BA56,"Shenzhen Coship Electronics Co., Ltd."
2894AF,Samhwa Telecom
740EDB,"Optowiz Co., Ltd"
00A2FF,abatec group AG
D095C7,"Pantech Co., Ltd."
D02C45,"littleBits Electronics, Inc."
5027C7,"TECHNART Co.,Ltd"
248000,Westcontrol AS
F84A7F,Innometriks Inc
58639A,TPL SYSTEMES
0C9B13,Shanghai Magic Mobile Telecommunication Co.Ltd.
3C15EA,"TESCOM CO., LTD."
B4CCE9,PROSYST
34A3BF,Terewave. Inc.
B0CE18,"Zhejiang shenghui lighting co.,Ltd"
503CC4,Lenovo Mobile Communication Technology Ltd.
286D97,"SAMJIN Co., Ltd."
ACE42E,SK hynix
08EF3B,MCS Logic Inc.
806C8B,KAESER KOMPRESSOREN AG
048C03,"ThinPAD Technology (Shenzhen)CO.,LTD"
84E629,Bluwan SA
34CD6D,CommSky Technologies
C47F51,Inventek Systems
E8D4E0,"Beijing BenyWave Technology Co., Ltd."
681D64,"Sunwave Communications Co., Ltd"
F4CD90,Vispiron Rotec GmbH
E438F2,Advantage Controls
C8F386,"Shenzhen Xiaoniao Technology Co.,Ltd"
E8CE06,"SkyHawke Technologies, LLC."
B0808C,Laser Light Engines
C419EC,Qualisys AB
981094,"Shenzhen Vsun communication technology Co.,ltd"
82719,APS systems/electronic AG
D4AC4E,"BODi rS, LLC"
B03850,"Nanjing CAS-ZDC IOT SYSTEM CO.,LTD"
C0DA74,"Hangzhou Sunyard Technology Co., Ltd."
34A843,KYOCERA Display Corporation
6C5779,"Aclima, Inc."
40BD9E,"Physio-Control, Inc"
581CBD,Affinegy
F82BC8,"Jiangsu Switter Co., Ltd"
60C397,2Wire Inc
3065EC,Wistron (ChongQing)
5CA3EB,Lokel s.r.o.
04DF69,Car Connectivity Consortium
28DB81,"Shanghai Guao Electronic Technology Co., Ltd"
9CB793,Creatcomm Technology Inc.
A0B100,"ShenZhen Cando Electronics Co.,Ltd"
40560C,In Home Displays Ltd
9436,"Sichuan Bihong Broadcast &amp; Television New Technologies Co.,Ltd"
D4D50D,"Southwest Microwave, Inc"
B8CD93,"Penetek, Inc"
D8FEE3,D-Link International
F8516D,Denwa Technology Corp.
1078CE,"Hanvit SI, Inc."
D8DA52,APATOR S.A.
107A86,U&U ENGINEERING INC.
